Date,Open,High,Low,Close,Adj Close,Volume
2010-04-06,633.900024,646.299988,632.099976,646.299988,428.288330,31943392
2010-04-07,643.900024,645.400024,639.599976,642.299988,425.637756,31705978
2010-04-08,637.099976,640.200012,635.000000,637.099976,422.191650,16748698
2010-04-09,641.000000,644.900024,638.299988,641.099976,424.842499,24460774
2010-04-12,641.900024,643.400024,636.099976,641.099976,424.842499,15417977
2010-04-13,638.099976,642.700012,636.200012,640.700012,424.577332,18213108
2010-04-14,640.799988,647.900024,640.799988,643.099976,426.167847,23784200
2010-04-15,647.000000,653.400024,642.200012,653.000000,432.728302,29181388
2010-04-16,650.900024,654.299988,640.200012,641.799988,425.306335,42403708
2010-04-19,638.000000,644.400024,637.000000,642.500000,425.770172,22460426
2010-04-20,645.000000,655.599976,644.000000,655.400024,434.318695,28449896
2010-04-21,656.000000,658.200012,647.200012,648.200012,429.547394,23183364
2010-04-22,648.000000,649.500000,635.599976,636.400024,421.727875,27405464
2010-04-23,643.000000,643.000000,635.700012,639.700012,423.914642,23361816
2010-04-26,646.000000,650.200012,626.700012,626.799988,415.366211,42117872
2010-04-27,637.900024,639.599976,610.000000,610.000000,404.233154,69843409
2010-04-28,613.500000,630.200012,612.200012,625.000000,414.173309,53323997
2010-04-29,621.000000,621.000000,578.000000,584.200012,387.136169,133392001
2010-04-30,574.900024,581.000000,559.599976,575.500000,381.370819,164484640
2010-05-04,575.500000,575.500000,545.000000,558.500000,370.105316,158689472
2010-05-05,561.299988,574.799988,552.500000,565.000000,374.412720,139601328
2010-05-06,558.000000,574.900024,557.000000,567.000000,375.738068,80320710
2010-05-07,552.799988,570.000000,546.000000,553.900024,367.057007,80382763
2010-05-10,546.000000,556.500000,540.700012,549.200012,363.942413,90241225
2010-05-11,543.500000,548.299988,536.299988,545.500000,361.490448,55833676
2010-05-12,552.000000,552.000000,536.099976,541.599976,358.906036,52986200
2010-05-13,547.900024,549.000000,541.200012,547.599976,362.882141,29049994
2010-05-14,545.200012,549.099976,530.000000,530.200012,351.351471,55687848
2010-05-17,537.000000,548.000000,527.500000,529.900024,351.152802,55205056
2010-05-18,536.000000,540.000000,528.599976,534.000000,353.869690,41515222
2010-05-19,527.700012,536.500000,522.900024,523.500000,346.911621,58246441
2010-05-20,528.200012,540.000000,514.000000,528.799988,350.423828,81939133
2010-05-21,520.000000,522.500000,505.200012,506.700012,335.778564,94303972
2010-05-24,505.000000,505.299988,486.549988,493.000000,326.699890,66166121
2010-05-25,475.299988,489.350006,469.750000,485.200012,321.531036,79991151
2010-05-26,490.000000,500.000000,477.649994,492.000000,326.037292,84258024
2010-05-27,500.000000,524.299988,498.500000,520.799988,345.122375,101160360
2010-05-28,517.000000,517.000000,494.799988,494.799988,327.892761,71927672
2010-06-01,494.799988,494.799988,411.500000,430.000000,284.951233,227283291
2010-06-02,418.000000,431.899994,415.100006,429.750000,284.785583,123311927
2010-06-03,440.000000,450.049988,431.100006,432.250000,286.442322,113817392
2010-06-04,450.000000,452.750000,432.500000,433.350006,287.171265,98458965
2010-06-07,430.000000,448.000000,427.549988,430.299988,285.149994,87928589
2010-06-08,430.000000,432.000000,396.799988,408.899994,270.968750,140900304
2010-06-09,402.350006,404.500000,380.500000,391.549988,259.471344,146895793
2010-06-10,348.000000,380.500000,345.149994,365.500000,242.208542,318357996
2010-06-11,374.000000,398.000000,367.500000,391.899994,259.703278,198519775
2010-06-14,388.000000,395.000000,351.000000,355.450012,235.548691,165138392
2010-06-15,352.000000,362.600006,336.750000,342.000000,226.635651,157637856
2010-06-16,340.000000,349.600006,333.500000,337.000000,223.322235,158440477
2010-06-17,360.000000,369.799988,352.000000,359.700012,238.365082,156023136
2010-06-18,362.000000,379.500000,354.399994,357.450012,236.874008,159122595
2010-06-21,357.049988,357.450012,338.200012,349.500000,231.605728,74837424
2010-06-22,340.250000,344.649994,328.399994,334.200012,221.466705,84677288
2010-06-23,336.000000,340.799988,332.299988,333.500000,221.002899,49805232
2010-06-24,336.200012,338.500000,324.100006,325.250000,215.535828,60456332
2010-06-25,324.000000,324.799988,296.000000,304.600006,201.851532,148020771
2010-06-28,308.000000,317.799988,303.000000,308.250000,204.270279,66787558
2010-06-29,298.500000,307.399994,298.000000,302.899994,200.724960,76436737
2010-06-30,312.000000,330.850006,309.549988,318.899994,211.327835,124637968
2010-07-01,320.000000,338.299988,312.649994,327.950012,217.325043,103306689
2010-07-02,326.000000,330.350006,320.450012,322.000000,213.382080,50124040
2010-07-05,324.549988,339.899994,323.000000,333.299988,220.870361,31036036
2010-07-06,342.000000,349.450012,338.000000,345.500000,228.955048,62190848
2010-07-07,347.399994,364.250000,346.600006,362.049988,239.922394,91138400
2010-07-08,366.000000,375.000000,363.000000,367.000000,243.202560,86251672
2010-07-09,369.049988,375.000000,358.200012,364.799988,241.744705,50038000
2010-07-12,381.549988,402.549988,378.000000,398.950012,264.375183,87478304
2010-07-13,409.950012,419.850006,402.200012,410.350006,271.929657,90788040
2010-07-14,410.000000,411.500000,391.000000,401.000000,265.733643,103318996
2010-07-15,395.950012,405.200012,392.899994,401.750000,266.230652,52938238
2010-07-16,424.899994,426.450012,403.700012,407.149994,269.809113,123608268
